molecule_chembl_id,canonical_smiles,standard_value
MB186,O=C1C(C(C)CC)=CC(/C=C/C(C2=CC=C(OC)C=C2)=O)=C/C1=C\NCCNC3=CC=NC4=CC(Cl)=CC=C34,33.68
MB187,O=C1C(C(C)CC)=CC(/C=C/C(C2=CC=C(Cl)C=C2)=O)=C/C1=C\NCCNC3=CC=NC4=CC(Cl)=CC=C34,32.77
MB188,O=C1C(C(C)CC)=CC(/C=C/C(C2=CC=CO2)=O)=C/C1=C\NCCNC3=CC=NC4=CC(Cl)=CC=C34,14.12
MB189,O=C1C(C(C)CC)=CC(/C=C/C(C2=CC=CS2)=O)=C/C1=C\NCCNC3=CC=NC4=CC(Cl)=CC=C34,17.56
MB190,O=C1C(C(C)(C)C)=CC(/C=C/C(C2=CC=C(F)C=C2)=O)=C/C1=C\NCCNC3=CC=NC4=CC(Cl)=CC=C34,13.56
MB191,O=C1C(C(C)(C)C)=CC(/C=C/C(C2=CC=C(Cl)C=C2)=O)=C/C1=C\NCCNC3=CC=NC4=CC(Cl)=CC=C34,51.54
MB192,O=C1C(C(C)(C)C)=CC(/C=C/C(C2=CC=C(Br)C=C2)=O)=C/C1=C\NCCNC3=CC=NC4=CC(Cl)=CC=C34,7.85
MB193,O=C1C(C)=CC(/C=C/C(C2=CC=C(O)C=C2)=O)=C/C1=C\NCCCNC3=CC=NC4=CC(Cl)=CC=C34,59.42
MB194,O=C1C(C)=CC(/C=C/C(C2=CC=C(OC)C=C2)=O)=C/C1=C\NCCCNC3=CC=NC4=CC(Cl)=CC=C34,75.4
MB195,O=C1C(C)=CC(/C=C/C(C2=CC=C(Cl)C=C2)=O)=C/C1=C\NCCCNC3=CC=NC4=CC(Cl)=CC=C34,82.67
MB196,O=C1C(C(C)CC)=CC(/C=C/C(C2=CC=C(O)C=C2)=O)=C/C1=C\NCCCNC3=CC=NC4=CC(Cl)=CC=C34,78.29
